id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Throne,MC Vantage,hip-hop,confident,0.80,96,0.62,0.85,0.08
12,Candlelit Sonata,Elena Marsh,classical,calm,0.25,66,0.55,0.22,0.95
13,Iron Descent,Grave Circuit,metal,angry,0.97,168,0.30,0.55,0.03
14,Wheat Field Letters,Cotton Ridge,folk,nostalgic,0.33,84,0.53,0.44,0.80
15,Velvet Hours,Sable & Reed,r&b,sensual,0.55,88,0.68,0.70,0.40
16,Pulse Horizon,Kilowatt,electronic,euphoric,0.88,128,0.86,0.90,0.06
17,Open Road Home,Dusty Larkin,country,hopeful,0.50,100,0.72,0.61,0.60
18,Hammock Sundown,Tide & Palm,reggae,easygoing,0.38,92,0.75,0.68,0.50
